dataset,sel,method_q,random20_q,km20_q,bern_q,denom_pct,recovery,metric,method_minus_random_pct,method_minus_bern_pct,method
DEEP,0.01,1.5929764491634344,1.663208551074183,1.597097632358483,1.6488414194206877,3.9749025263850615,1.0623374062122934,recovery,-4.222687639826598,,minibatch
DEEP,0.05,1.1862025351845968,1.1980786451114498,1.194996397299045,1.2145249581469018,0.25726590027970375,,fallback_abs_pct,-0.991262967194294,-2.33197537624247,minibatch
DEEP,0.1,1.1165036728289301,1.1300011558526857,1.1252721297025954,1.138595160728984,0.4184974613164737,,fallback_abs_pct,-1.1944663024322737,-1.9402408039315513,minibatch
DEEP,0.3,1.053455866491272,1.062949275788585,1.0568118375437836,1.0656068342581544,0.5773970954774045,,fallback_abs_pct,-0.8931196919316678,-1.140286208406448,minibatch
DEEP,0.5,1.0368731125631425,1.041105157644195,1.0354807133325237,1.0430851554031715,0.5402378684203483,,fallback_abs_pct,-0.40649544860854403,-0.5955451295467719,minibatch
SIFT,0.01,1.6260122179567538,1.687954325489832,1.673486423184545,1.6899661131218506,0.8571264095720399,,fallback_abs_pct,-3.6696554283305636,-3.784330032923307,minibatch
SIFT,0.05,1.2111534812466638,1.2450965961689382,1.1955252110905525,1.226280401263683,3.981328455230928,0.684732025716071,recovery,-2.726143098191309,,minibatch
SIFT,0.1,1.1230149673222376,1.1508299591934297,1.1102131748232031,1.1440891564501692,3.5293471503551404,0.6848152137711176,recovery,-2.4169506232429403,,minibatch
SIFT,0.3,1.0468450496793336,1.0689669160354351,1.0479396393597922,1.0649669014749097,1.9670652440422147,1.0520557035199207,recovery,-2.0694622091904167,,minibatch
SIFT,0.5,1.0284468192104717,1.0432368215314505,1.0308746022447766,1.0416938184624556,1.1849868631483336,1.1963873134755005,recovery,-1.4177032497057955,,minibatch
DEEP,0.01,1.9701990233554423,1.663208551074183,1.597097632358483,1.6488414194206877,3.9749025263850615,-4.643566875865468,recovery,18.457725706315635,,random_proj
DEEP,0.05,1.2766138670789624,1.1980786451114498,1.194996397299045,1.2145249581469018,0.25726590027970375,,fallback_abs_pct,6.555097387634929,5.112197037662749,random_proj
DEEP,0.1,1.1673215371038863,1.1300011558526857,1.1252721297025954,1.138595160728984,0.4184974613164737,,fallback_abs_pct,3.302685228055285,2.522966666792292,random_proj
DEEP,0.3,1.075558506261683,1.062949275788585,1.0568118375437836,1.0656068342581544,0.5773970954774045,,fallback_abs_pct,1.1862495003577143,0.9338971639063032,random_proj
DEEP,0.5,1.0514111463160152,1.041105157644195,1.0354807133325237,1.0430851554031715,0.5402378684203483,,fallback_abs_pct,0.9899085213582568,0.798208168308708,random_proj
SIFT,0.01,2.449838863541367,1.687954325489832,1.673486423184545,1.6899661131218506,0.8571264095720399,,fallback_abs_pct,45.13656125324611,44.96378622739448,random_proj
SIFT,0.05,1.3423667444243237,1.2450965961689382,1.1955252110905525,1.226280401263683,3.981328455230928,-1.9622237325339065,recovery,7.812257181866683,,random_proj
SIFT,0.1,1.2072074926878558,1.1508299591934297,1.1102131748232031,1.1440891564501692,3.5293471503551404,-1.3880353742565774,recovery,4.898858692724582,,random_proj
SIFT,0.3,1.092659526689815,1.0689669160354351,1.0479396393597922,1.0649669014749097,1.9670652440422147,-1.1267560236092868,recovery,2.2164026125570375,,random_proj
SIFT,0.5,1.0557606582433732,1.0432368215314505,1.0308746022447766,1.0416938184624556,1.1849868631483336,-1.013073496069027,recovery,1.2004787842455522,,random_proj
DEEP,0.01,1.6016482719769711,1.663208551074183,1.597097632358483,1.6488414194206877,3.9749025263850615,0.9311665953689502,recovery,-3.7012964524174166,,hilbert
DEEP,0.05,1.17418587739588,1.1980786451114498,1.194996397299045,1.2145249581469018,0.25726590027970375,,fallback_abs_pct,-1.994257039223599,-3.3213875499578327,hilbert
DEEP,0.1,1.1229231682036966,1.1300011558526857,1.1252721297025954,1.138595160728984,0.4184974613164737,,fallback_abs_pct,-0.6263699477057677,-1.376432384909603,hilbert
DEEP,0.3,1.057984575789833,1.062949275788585,1.0568118375437836,1.0656068342581544,0.5773970954774045,,fallback_abs_pct,-0.4670683833966406,-0.7152974458565511,hilbert
DEEP,0.5,1.0368162544584871,1.041105157644195,1.0354807133325237,1.0430851554031715,0.5402378684203483,,fallback_abs_pct,-0.4119567705737571,-0.6009960847598591,hilbert
SIFT,0.01,1.618352352479842,1.687954325489832,1.673486423184545,1.6899661131218506,0.8571264095720399,,fallback_abs_pct,-4.123451207116754,-4.237585599259002,hilbert
SIFT,0.05,1.1948450831049702,1.2450965961689382,1.1955252110905525,1.226280401263683,3.981328455230928,1.0137201731302625,recovery,-4.035952970925138,,hilbert
SIFT,0.1,1.1122979027820326,1.1508299591934297,1.1102131748232031,1.1440891564501692,3.5293471503551404,0.9486732396187033,recovery,-3.3481971948664495,,hilbert
SIFT,0.3,1.0491411522367193,1.0689669160354351,1.0479396393597922,1.0649669014749097,1.9670652440422147,0.9428593205168154,recovery,-1.8546657994098863,,hilbert
