method,sel,DEEP_1M,DEEP_8M,SIFT_1.5M,SIFT_1M
birch,0.01,0.0456,,0.1185,
birch,0.05,-0.1435,,-0.1074,
birch,0.1,-0.1433,-0.1638,-0.4418,
birch,0.3,-0.173,-0.1247,-0.7155,
birch,0.5,-0.1616,,-0.7428,
distance_shell,0.01,-0.0599,,0.0911,
distance_shell,0.05,0.1262,,0.1474,
distance_shell,0.1,0.286,0.2517,0.1254,
distance_shell,0.3,0.4135,0.4233,0.2426,
distance_shell,0.5,0.4047,,0.245,
gmm,0.01,-0.0705,,0.0268,
gmm,0.05,-0.2112,,-0.2626,
gmm,0.1,-0.1748,-0.182,-0.5212,
gmm,0.3,-0.1616,-0.108,-0.7735,
gmm,0.5,-0.1265,,-0.796,
hdbscan,0.01,-0.0558,,0.0491,
hdbscan,0.05,-0.2092,,-0.2885,
hdbscan,0.1,-0.2366,-0.2334,-0.5575,
hdbscan,0.3,-0.2128,-0.2273,-0.8614,
hdbscan,0.5,-0.2704,,-0.8251,
hilbert,0.01,-0.0716,,0.0158,-0.0287
hilbert,0.05,-0.1893,,-0.2333,-0.1822
hilbert,0.1,-0.1425,-0.2357,-0.4804,-0.3305
hilbert,0.3,-0.1785,-0.2109,-0.7466,-0.4267
hilbert,0.5,-0.1827,,-0.7506,-0.2947
hybrid,0.01,-0.06,,-0.0566,
hybrid,0.05,-0.2238,,-0.279,
hybrid,0.1,-0.263,-0.1988,-0.5687,
hybrid,0.3,-0.2149,-0.1923,-0.8681,
hybrid,0.5,-0.2214,,-0.8509,
kde_pilot,0.01,-0.0289,,0.0689,
kde_pilot,0.05,-0.0815,,-0.0743,
kde_pilot,0.1,0.0037,0.262,-0.2041,
kde_pilot,0.3,-0.065,0.1005,-0.3334,
kde_pilot,0.5,-0.1265,,-0.4247,
kdtree,0.01,0.0018,,0.0049,0.04
kdtree,0.05,-0.0853,,-0.2399,-0.1659
kdtree,0.1,-0.1183,-0.1844,-0.5406,-0.3018
kdtree,0.3,-0.1221,-0.1271,-0.8307,-0.3496
kdtree,0.5,-0.191,,-0.8272,-0.2128
lsh,0.01,0.0747,,0.1864,0.2832
lsh,0.05,0.0542,,0.09,0.1829
lsh,0.1,0.076,0.0171,-0.1061,0.1033
lsh,0.3,0.0906,0.1065,-0.2443,0.1304
lsh,0.5,0.1177,,-0.2033,0.2107
minibatch,0.01,-0.0744,,0.0563,-0.0358
minibatch,0.05,-0.093,,0.0574,-0.2088
minibatch,0.1,-0.101,-0.2277,-0.0546,-0.4051
minibatch,0.3,-0.1688,-0.1641,-0.0581,-0.4087
minibatch,0.5,-0.1497,,-0.0278,-0.3095
minibatch_partial,0.01,-0.1073,,0.0519,
minibatch_partial,0.05,-0.2353,,-0.1874,
minibatch_partial,0.1,-0.2359,-0.2076,-0.5463,
minibatch_partial,0.3,-0.2262,-0.2138,-0.8052,
minibatch_partial,0.5,-0.2355,,-0.7952,
pca1d,0.01,-0.116,,0.0043,0.0185
pca1d,0.05,-0.1102,,-0.2272,-0.1335
pca1d,0.1,-0.1745,-0.1617,-0.4892,-0.2882
pca1d,0.3,-0.2302,-0.1224,-0.7654,-0.3326
pca1d,0.5,-0.3057,,-0.7705,-0.1827
pq,0.01,0.2122,,0.2672,
pq,0.05,0.1112,,0.2266,
pq,0.1,0.0982,0.0415,-0.1173,
pq,0.3,-0.0212,-0.0154,-0.347,
pq,0.5,0.0142,,-0.3929,
random_proj,0.01,0.1241,,0.2272,
random_proj,0.05,0.1906,,0.2816,
random_proj,0.1,0.2249,0.0879,0.2434,
random_proj,0.3,0.2725,0.1338,0.3672,
random_proj,0.5,0.3284,,0.3952,
sobol,0.01,0.0585,,0.0699,
sobol,0.05,0.0377,,0.0853,
sobol,0.1,0.0225,0.0718,-0.1441,
sobol,0.3,-0.0633,0.1623,-0.4646,
sobol,0.5,0.0207,,-0.5885,
sparse_rp,0.01,-0.1022,,0.0298,
sparse_rp,0.05,-0.1275,,-0.2554,
sparse_rp,0.1,-0.0682,-0.1383,-0.509,
sparse_rp,0.3,-0.1035,-0.0958,-0.6145,
sparse_rp,0.5,-0.0959,,-0.6165,
spectral,0.01,0.1491,,0.1634,
spectral,0.05,0.0733,,0.0683,
spectral,0.1,0.0616,-0.0168,-0.2541,
spectral,0.3,-0.0453,0.0169,-0.5847,
spectral,0.5,-0.0335,,-0.6347,
zorder,0.01,-0.0324,,0.0403,-0.0155
zorder,0.05,-0.1552,,-0.3061,-0.2289
zorder,0.1,-0.174,-0.1519,-0.5243,-0.3753
zorder,0.3,-0.2407,-0.1774,-0.8458,-0.4098
zorder,0.5,-0.266,,-0.8473,-0.2651
